Unidade da Federação;2018;2019;2020;2021;2022;2023;Total
11 Rondônia;31576605;33420122;25817752;27779549;36978504;10129053;165701585
12 Acre;10584914;12965392;9167767;11303818;12031297;4800169;60853357
13 Amazonas;48107556;48864946;36777290;44188865;52519780;17780987;248239424
14 Roraima;7865085;6446384;4901721;6018354;6841020;2114070;34186634
15 Pará;97941106;96249596;77185669;85850252;104675841;34132899;496035363
16 Amapá;6086938;5698075;5000161;5833476;7489897;2719868;32828415
17 Tocantins;20596441;20392660;16403943;16839474;19205849;7228970;100667337
21 Maranhão;115706686;124969180;104027520;128899133;118595919;29514523;621712961
22 Piauí;34059892;38796642;25621557;30115589;35625033;12603648;176822361
23 Ceará;128657439;120893587;96897038;106323680;122326861;44229552;619328157
24 Rio Grande do Norte;47952164;54416441;45505739;50011718;56370997;12702527;266959586
25 Paraíba;40700228;47370202;39394416;47822011;54572218;18706487;248565562
26 Pernambuco;135152207;141619984;111713434;129217882;149966864;48265187;715935558
27 Alagoas;38931248;42236828;36480273;40648314;49757025;15369157;223422845
28 Sergipe;26832834;26734789;23212061;25566881;25341002;9119024;136806591
29 Bahia;171619477;173672825;148210844;166042203;188073955;64249663;911868967
31 Minas Gerais;347097838;350681105;295533508;318123596;347795423;117343689;1776575159
32 Espírito Santo;87501864;88973982;71467770;77462775;87182084;28274406;440862881
33 Rio de Janeiro;283376224;275331540;216413746;241227535;314594590;120965244;1451908879
35 São Paulo;1150578665;1181425032;1021030995;1103105910;1250337603;431291876;6137770081
41 Paraná;243514098;252687651;216013994;245334371;281904018;97748356;1337202488
42 Santa Catarina;152133689;170180109;148632631;167869717;209789755;64519483;913125384
43 Rio Grande do Sul;174231048;175179588;148609446;161304100;169515783;60438832;889278797
50 Mato Grosso do Sul;47882698;52040362;38667488;43994636;49246705;17318670;249150559
51 Mato Grosso;58431920;62971676;53524056;57393266;62815276;18510804;313646998
52 Goiás;114086321;114195595;98337236;111746964;138134247;45106606;621606969
53 Distrito Federal;36833185;42684467;39728154;42539932;48315260;16003071;226104069
Total;3658038370;3761098760;3154276209;3492564001;4000002806;1351186821;19417166967
