Unidade da Federação;Atenção Básica;Média complexidade;Alta complexidade;Não se aplica;Total
11 Rondônia;40675472;97654098;22663176;4708839;165701585
12 Acre;13053883;38405628;8641794;752052;60853357
13 Amazonas;31636753;179420284;32103531;5078856;248239424
14 Roraima;6262452;22252037;4317547;1354598;34186634
15 Pará;114999742;324627232;29342096;27066293;496035363
16 Amapá;5037000;23515200;3297595;978620;32828415
17 Tocantins;31137526;56305966;9893302;3330543;100667337
21 Maranhão;141193759;412203485;41248518;27067199;621712961
22 Piauí;19863858;97297766;48775128;10885609;176822361
23 Ceará;99041304;285550156;225602337;9134360;619328157
24 Rio Grande do Norte;48427999;136238612;78704961;3588014;266959586
25 Paraíba;25384329;119635621;96051503;7494109;248565562
26 Pernambuco;100812190;416139199;174938558;24045611;715935558
27 Alagoas;29476007;131478149;54864052;7604637;223422845
28 Sergipe;28435999;72833662;31862135;3674795;136806591
29 Bahia;141911901;499095965;226810734;44050367;911868967
31 Minas Gerais;389736615;760756549;591719725;34362270;1776575159
32 Espírito Santo;62072390;161781375;201056305;15952811;440862881
33 Rio de Janeiro;320999381;859611825;237334643;33963030;1451908879
35 São Paulo;1243606888;2343437345;2469376010;81349838;6137770081
41 Paraná;356219702;387381121;566913212;26688453;1337202488
42 Santa Catarina;213003285;311997626;356222636;31901837;913125384
43 Rio Grande do Sul;138604685;466228856;266630655;17814601;889278797
50 Mato Grosso do Sul;74874193;104907438;63125306;6243622;249150559
51 Mato Grosso;111858183;145362326;41829414;14597075;313646998
52 Goiás;135597710;281927793;192497329;11584137;621606969
53 Distrito Federal;7348632;110676906;102884024;5194507;226104069
Total;3931271838;8846722220;6178706226;460466683;19417166967
