"""Unidade da Federação"";""Atenção Básica"";""Média complexidade"";""Alta complexidade"";""Não se aplica"";""Total"""
"""11 Rondônia"";-;629874501,55;390994026,41;142102393,10;1162970921,06"
"""12 Acre"";-;201483158,20;136145749,96;40983525,83;378612433,99"
"""13 Amazonas"";19870,00;1044702499,76;492485031,65;157599793,16;1694807194,57"
"""14 Roraima"";-;141687421,03;82686257,81;74144995,74;298518674,58"
"""15 Pará"";3981,00;1915932627,95;998319976,18;258377050,45;3172633635,58"
"""16 Amapá"";-;154141763,04;120146322,41;38047436,75;312335522,20"
"""17 Tocantins"";-;345338567,65;203218833,85;58493820,10;607051221,60"
"""21 Maranhão"";-;2599901516,65;1013648143,64;331733824,75;3945283485,04"
"""22 Piauí"";-;698321599,37;773120381,35;177156313,20;1648598293,92"
"""23 Ceará"";-;1893596174,81;1823577831,35;100523339,66;3817697345,82"
"""24 Rio Grande do Norte"";-;909325685,20;852352807,54;70675853,94;1832354346,68"
"""25 Paraíba"";-;931143635,91;744984251,40;111338838,02;1787466725,33"
"""26 Pernambuco"";2614,00;2723553528,65;2160436550,63;223212720,14;5107205413,42"
"""27 Alagoas"";-;932342705,65;660697063,31;128480904,57;1721520673,53"
"""28 Sergipe"";-;454249726,53;339110781,27;71187346,28;864547854,08"
"""29 Bahia"";256483,00;3820133644,55;2844337256,72;447779415,30;7112506799,57"
"""31 Minas Gerais"";5655,00;5099355951,13;5103142116,28;586393719,42;10788897441,83"
"""32 Espírito Santo"";-;1120337624,67;1056649306,44;125397313,51;2302384244,62"
"""33 Rio de Janeiro"";-;5268536334,47;3790375128,38;398940126,39;9457851589,24"
"""35 São Paulo"";18219,60;16149053283,70;12424981448,10;1013832680,92;29587885632,32"
"""41 Paraná"";7873,00;3052783565,30;3253507042,55;332967434,19;6639265915,04"
"""42 Santa Catarina"";-;2302870277,86;1897123365,35;261154222,25;4461147865,46"
"""43 Rio Grande do Sul"";-;3489085475,67;3099044542,60;282182636,80;6870312655,07"
"""50 Mato Grosso do Sul"";-;661076921,77;558500228,73;103521751,74;1323098902,24"
"""51 Mato Grosso"";-;870894333,76;637669014,33;131802255,30;1640365603,39"
"""52 Goiás"";3241390,00;2088459567,05;1603773651,40;151602450,54;3847077058,99"
"""53 Distrito Federal"";-;750280847,85;630961104,56;112288822,31;1493530774,72"
"""Total"";3556085,60;60248462939,74;47691988214,20;5931920984,36;113875928223,90"
